polygon_id,polygon_name,point_id,point_name,point_wikidata_id
12577426,Aluniș,460352722,Aluniș,Q1096291
12560225,Bahnea,460352864,Cund,Q713837
11768790,Putna,1908098535,Chilia lui Daniil Sihastrul,Q12723994
9711986,Ilovița,460206401,Bahna,Q12081305
10495791,Siret,464343417,Mănăstioara,Q12122601
11318851,Acățari,460352600,Roteni,Q713695
10534514,Victoria,312030449,Mihai Bravu,Q12131755
9748438,Horezu,341926062,Romanii de Jos,Q12148736
9845369,Berbești,463263772,Valea Mare,Q12087504
9714846,Greci,460206355,Sălătruc,Q12151786
12026309,Centru,8522255987,Toma T. Socolescu,Q3530956
1284066,,461630584,Brâznic,Q3891257
11671594,Lazuri,463186765,Pelișor,Q723305
10492538,Margina,34088345,Margina,Q1166246
1302683,,454155297,Moțești,Q1178174
1285345,,461627061,Bunești,Q851956
11321998,Checea,289359566,Checea,Q12346145
9845439,Copăceni,463266569,Bondoci,Q12083923
9964687,Holboca,462221968,Cristești,Q12115243
9729709,Slivilești,460201069,Cojmănești,Q12111261
10540681,Pianu,422870019,Strungari,Q260412
11485021,Vrani,461603386,Iertof,Q766634
10541102,Bretea Română,461628853,Bercu,Q664612
10541102,Bretea Română,461628862,Gânțaga,Q824883
12721832,,463187761,Plauru,Q12140814
10514880,Teliu,346147353,Teliu,Q15279414
12577454,Brâncovenești,460353604,Brâncovenești,Q1095817
12578094,Zau de Câmpie,460364505,Ciretea,Q852519
13137695,Albota,422879814,Albota,Q2348255
12721832,,463187709,Periprava,Q12140048
9697793,Vârvoru de Jos,461883437,Criva,Q12115189
10541408,Răchitova,461632294,Gotești,Q2109788
10366927,Casimcea,463187742,Războieni,Q3623966
12578436,Batoș,460352942,Uila,Q830568
1267529,,463178720,Nucșoara de Jos,Q12134486
9729707,Borăscu,460197469,Calapăru,Q12107737
10363611,Horia,463187875,Cloșca,Q12110547
13137185,Ciofrângeni,422880375,Schitu-Matei,Q12153497
9717320,Novaci,460195137,Hirișești,Q12168164
9833320,Dănicei,463268305,Glodu,Q12096167
10631069,Zlatna,422868479,Runc,Q11980187
9833320,Dănicei,463268265,Drăgulești,Q12102386
10772484,Liteni,464486356,Siliștea,Q12159379
3245175,,8755735566,Ambasada Republicii Orientale Uruguay,Q106937655
7958144,Macroregiunea Patru,463257091,Sârbova,Q827006
1272935,,422881589,Dealu Tolcesii,Q12103092
7958144,Macroregiunea Patru,460206365,Cârjei,Q12109897
7958144,Macroregiunea Patru,444649813,Milcovu din Deal,Q12131294
